"('Close', 'ABBV')","('High', 'ABBV')","('Low', 'ABBV')","('Open', 'ABBV')","('Volume', 'ABBV')",sentiment_score,sentiment_label
177.4600067138672,178.540022073154,174.58655262884804,175.8152035257941,7164400.0,0.1588,positive
176.8000030517578,180.5,176.30999755859375,177.6999969482422,8078500.0,0.1588,positive
171.67999267578125,176.85000610351562,169.75,176.52999877929688,9459300.0,0.1536,positive
172.99000549316406,175.1999969482422,171.91000366210938,172.57000732421875,8998100.0,0.1579,positive
170.16000366210938,174.1699981689453,168.5399932861328,173.47000122070312,7364600.0,0.1577,positive
173.77999877929688,174.66000366210938,170.91000366210938,171.0800018310547,6191900.0,0.1532,positive
177.0500030517578,178.14999389648438,174.39999389648438,175.0,7119700.0,0.1489,positive
180.3699951171875,181.49000549316406,176.11000061035156,177.61000061035156,8789400.0,0.1489,positive
186.05999755859375,188.6999969482422,179.99000549316406,187.1199951171875,10482100.0,0.1543,positive
192.33999633789062,193.1199951171875,187.63999938964844,188.0,10408000.0,0.1622,positive
193.50999450683594,195.5399932861328,190.5800018310547,192.58999633789062,6671400.0,0.1705,positive
195.10000610351562,195.77999877929688,191.00999450683594,194.49000549316406,8400700.0,0.1686,positive
193.33999633789062,195.82000732421875,189.8000030517578,192.8800048828125,5823600.0,0.1686,positive
198.47000122070312,198.97999572753906,194.6300048828125,195.1699981689453,6424800.0,0.1686,positive
196.07000732421875,198.5,195.02999877929688,198.47000122070312,5121500.0,0.159,positive
187.14999389648438,195.82000732421875,185.74000549316406,195.5,9392000.0,0.1666,positive
188.08999633789062,190.17999267578125,186.75,188.1699981689453,5771700.0,0.173,positive
185.5800018310547,186.66000366210938,181.63999938964844,184.1300048828125,8816700.0,0.1598,positive
184.60000610351562,189.77000427246094,184.22999572753906,185.75,7806100.0,0.1566,positive
