"('Close', 'ABNB')","('High', 'ABNB')","('Low', 'ABNB')","('Open', 'ABNB')","('Volume', 'ABNB')",sentiment_score,sentiment_label
113.22000122070312,118.29000091552734,112.55000305175781,117.30000305175781,4338000.0,-0.0504,negative
114.63999938964844,115.70999908447266,113.5199966430664,114.2249984741211,5182400.0,-0.0487,neutral
112.63999938964844,115.62000274658203,111.02999877929688,113.58000183105469,5026300.0,-0.0487,neutral
112.69999694824219,114.0,111.86000061035156,113.75,4454600.0,-0.066,negative
111.61000061035156,113.4000015258789,109.79000091552734,111.31999969482422,5695000.0,-0.066,negative
114.91000366210938,115.80000305175781,112.05000305175781,112.58999633789062,4827200.0,-0.0585,negative
118.27999877929688,122.31999969482422,116.72000122070312,119.69999694824219,5183400.0,-0.0585,negative
121.70999908447266,121.88999938964844,118.0,118.86000061035156,3690300.0,-0.0585,negative
122.51000213623047,123.08999633789062,120.83000183105469,121.43000030517578,2905000.0,-0.0585,negative
123.30000305175781,125.2300033569336,122.11000061035156,122.51000213623047,5608800.0,-0.0569,negative
125.48999786376953,125.98999786376953,123.16000366210938,123.27999877929688,6525400.0,-0.0553,negative
121.91999816894531,122.25,118.05000305175781,121.05500030517578,7534200.0,-0.0553,negative
124.01000213623047,125.08000183105469,121.9000015258789,121.91999816894531,9431800.0,-0.0539,negative
125.26000213623047,126.55999755859375,120.13400268554688,121.0999984741211,11301600.0,-0.0774,negative
124.88999938964844,127.58999633789062,122.30000305175781,123.3550033569336,6761400.0,-0.0737,negative
121.66999816894531,124.5,121.56999969482422,123.1449966430664,5229300.0,-0.0772,negative
123.12000274658203,123.6500015258789,120.41000366210938,121.33499908447266,3423600.0,-0.0956,negative
126.38999938964844,127.62999725341797,123.62000274658203,124.625,3819900.0,-0.1253,negative
127.04000091552734,127.33000183105469,123.4000015258789,124.95999908447266,6144300.0,-0.1572,negative
