"('Close', 'ACN')","('High', 'ACN')","('Low', 'ACN')","('Open', 'ACN')","('Volume', 'ACN')",sentiment_score,sentiment_label
289.7900085449219,293.260009765625,286.6400146484375,289.9200134277344,3299300.0,0.0874,positive
288.6600036621094,292.0799865722656,287.3399963378906,288.9100036621094,3273200.0,0.086,positive
285.239990234375,292.5,283.739990234375,289.45001220703125,3183900.0,0.0765,positive
282.3500061035156,286.6700134277344,281.7699890136719,285.5199890136719,2320300.0,0.0765,positive
279.2300109863281,282.3399963378906,275.9800109863281,282.3399963378906,2835500.0,0.0601,positive
283.9599914550781,285.1000061035156,280.1499938964844,281.3999938964844,2499500.0,0.0476,neutral
288.1600036621094,296.94000244140625,286.9700012207031,294.6499938964844,2763100.0,0.0476,neutral
291.4100036621094,291.760009765625,284.739990234375,285.0,3271400.0,0.058,positive
293.3900146484375,294.010009765625,289.0199890136719,291.5199890136719,2919200.0,0.058,positive
293.25,296.05999755859375,289.8900146484375,294.5199890136719,1865200.0,0.058,positive
298.4700012207031,299.0400085449219,294.79998779296875,295.6199951171875,3251900.0,0.0642,positive
299.1499938964844,299.54998779296875,291.7099914550781,295.2699890136719,2834700.0,0.0642,positive
300.5299987792969,304.760009765625,298.5,300.80999755859375,2848600.0,0.0642,positive
305.3299865722656,306.3399963378906,303.8699951171875,305.0,1810000.0,0.0642,positive
307.7099914550781,309.4100036621094,303.4100036621094,303.42999267578125,3548600.0,0.0633,positive
303.79998779296875,305.95001220703125,303.20001220703125,303.8599853515625,2719400.0,0.0633,positive
306.0899963378906,308.0899963378906,303.4700012207031,304.79998779296875,2647700.0,0.0729,positive
308.8800048828125,313.25,308.0,309.0,2861600.0,0.0711,positive
307.8999938964844,311.5899963378906,306.70001220703125,310.0299987792969,1844400.0,0.0951,positive
