"('Close', 'AES')","('High', 'AES')","('Low', 'AES')","('Open', 'AES')","('Volume', 'AES')",sentiment_score,sentiment_label
10.295551300048828,10.462559370940694,10.128544166046588,10.285728012323727,13416200.0,0.0943,positive
10.089248657226562,10.482208290553247,10.030304243782727,10.27590424883432,12446000.0,0.1066,positive
9.784704208374023,10.1481921022959,9.68646383190231,10.040128437688747,15587000.0,0.1066,positive
10.000832557678223,10.079424484753561,9.774880064669373,9.843648703527549,10475700.0,0.1066,positive
9.627520561218262,10.020480201721178,9.401568065261822,9.88294479599,13719100.0,0.1216,positive
9.804351806640625,9.882944670634014,9.627520439102097,9.755232554868057,9778600.0,0.1317,positive
9.941887855529785,10.275904004355569,9.873120155556116,10.099071705120826,10423400.0,0.1239,positive
9.941887855529785,10.138367667518585,9.882944380377968,10.040128229969008,13945100.0,0.1216,positive
9.873120307922363,9.941888008957285,9.73558396896286,9.902592045953092,13192100.0,0.1303,positive
10.010655403137207,10.079424038953835,9.882944229955536,9.912415967082874,13953800.0,0.1303,positive
10.187487602233887,10.285727974238151,9.961536058269552,9.981183570536631,13877400.0,0.1303,positive
9.824000358581543,10.118720556716925,9.745408430664066,10.118720556716925,18034800.0,0.1303,positive
9.949999809265137,10.260000228881836,9.899999618530273,9.899999618530273,17623700.0,0.1279,positive
10.180000305175781,10.390000343322754,9.90999984741211,10.100000381469727,17920100.0,0.0991,positive
10.260000228881836,10.279999732971191,9.960000038146973,10.220000267028809,16502400.0,0.0422,neutral
10.4399995803833,10.600000381469727,10.199999809265137,10.229999542236328,12178400.0,0.0579,positive
10.300000190734863,10.489999771118164,10.1899995803833,10.260000228881836,10993400.0,0.0637,positive
10.819999694824219,10.9399995803833,10.279999732971191,10.390000343322754,14049100.0,0.0782,positive
11.119999885559082,11.25,10.789999961853027,10.920000076293945,14686800.0,0.0747,positive
