"('Close', 'AKAM')","('High', 'AKAM')","('Low', 'AKAM')","('Open', 'AKAM')","('Volume', 'AKAM')",sentiment_score,sentiment_label
74.1500015258789,75.1500015258789,73.38999938964844,74.66999816894531,1251400.0,0.1051,positive
74.51000213623047,74.83000183105469,73.8499984741211,74.16999816894531,936900.0,0.1009,positive
73.80999755859375,75.58000183105469,73.25,73.83999633789062,1460000.0,0.1009,positive
73.45999908447266,74.30000305175781,73.19999694824219,74.0,1613400.0,0.097,positive
71.91999816894531,73.01000213623047,71.27999877929688,72.7699966430664,1067900.0,0.1225,positive
73.66999816894531,74.0199966430664,72.38999938964844,73.4800033569336,1583300.0,0.0823,positive
75.87000274658203,77.0,75.0199966430664,75.88999938964844,2080000.0,0.1063,positive
79.19999694824219,79.56999969482422,75.55000305175781,75.87000274658203,2048200.0,0.0744,positive
79.79000091552734,80.37999725341797,78.76000213623047,79.19999694824219,1307100.0,0.1058,positive
80.18000030517578,81.04000091552734,79.31999969482422,79.8499984741211,1354600.0,0.1028,positive
80.9800033569336,81.47000122070312,79.52999877929688,80.05999755859375,1267000.0,0.0707,positive
80.58000183105469,80.80000305175781,78.95999908447266,79.61000061035156,1065900.0,0.0673,positive
81.11000061035156,81.93000030517578,80.33000183105469,81.30000305175781,1159800.0,0.0746,positive
82.54000091552734,83.04000091552734,81.63999938964844,82.20999908447266,1340800.0,0.0962,positive
83.0999984741211,84.05000305175781,81.91000366210938,82.16999816894531,1576300.0,0.0944,positive
82.87000274658203,83.55999755859375,82.1500015258789,82.54000091552734,1279300.0,0.1122,positive
82.86000061035156,83.44000244140625,82.16999816894531,82.83999633789062,2224000.0,0.1186,positive
85.44000244140625,86.1500015258789,83.36000061035156,83.69999694824219,3833900.0,0.1063,positive
76.25,83.88999938964844,76.19999694824219,83.0,5832100.0,0.0958,positive
