"('Close', 'ALB')","('High', 'ALB')","('Low', 'ALB')","('Open', 'ALB')","('Volume', 'ALB')",sentiment_score,sentiment_label
57.38999938964844,59.2400016784668,56.06999969482422,57.95000076293945,2745500.0,0.083,positive
54.0099983215332,57.63999938964844,53.650001525878906,56.0,4050800.0,0.083,positive
52.56999969482422,54.84000015258789,51.459999084472656,53.04999923706055,4277300.0,0.0686,positive
52.90999984741211,53.869998931884766,51.91999816894531,53.290000915527344,3117400.0,0.0686,positive
53.02000045776367,53.209999084472656,50.849998474121094,52.5,3122800.0,0.0676,positive
54.77000045776367,56.0,53.34000015258789,53.709999084472656,2805000.0,0.0667,positive
55.63999938964844,59.93000030517578,55.369998931884766,57.369998931884766,3699000.0,0.0667,positive
58.16999816894531,58.459999084472656,55.95000076293945,55.95000076293945,2274100.0,0.0657,positive
57.72999954223633,58.25,56.650001525878906,57.38999938964844,3065800.0,0.0657,positive
58.54999923706055,60.310001373291016,57.43000030517578,57.880001068115234,2699000.0,0.0657,positive
59.459999084472656,59.959999084472656,58.65999984741211,58.84000015258789,2826000.0,0.0657,positive
58.54999923706055,58.68000030517578,56.209999084472656,57.0,6029800.0,0.064,positive
59.31999969482422,63.459999084472656,58.380001068115234,61.369998931884766,5229800.0,0.0585,positive
60.29999923706055,62.060001373291016,58.630001068115234,60.470001220703125,3471800.0,0.0617,positive
57.939998626708984,60.20000076293945,57.63999938964844,59.59000015258789,2589600.0,0.0488,neutral
57.4900016784668,58.66999816894531,56.77000045776367,56.77000045776367,2475500.0,0.0379,neutral
56.060001373291016,58.0,55.63999938964844,58.0,2895100.0,0.043,neutral
57.439998626708984,58.75,56.5,57.0099983215332,3404200.0,0.043,neutral
57.93000030517578,58.619998931884766,57.06999969482422,57.709999084472656,2163100.0,0.0421,neutral
