"('Close', 'ALLE')","('High', 'ALLE')","('Low', 'ALLE')","('Open', 'ALLE')","('Volume', 'ALLE')",sentiment_score,sentiment_label
126.29000091552734,126.98999786376953,124.83999633789062,126.19000244140625,758000.0,0.0974,positive
126.9000015258789,127.98999786376953,125.91999816894531,126.38999938964844,753400.0,0.0952,positive
125.12999725341797,127.22000122070312,124.36000061035156,126.47000122070312,708100.0,0.1088,positive
126.3499984741211,127.2699966430664,125.5199966430664,125.5199966430664,798400.0,0.1088,positive
123.2699966430664,125.27999877929688,122.13999938964844,124.6500015258789,992400.0,0.0878,positive
126.81999969482422,127.05000305175781,124.16999816894531,124.16999816894531,890800.0,0.0813,positive
126.45999908447266,130.83999633789062,126.16000366210938,128.0500030517578,1466600.0,0.0784,positive
139.50999450683594,142.0,134.19000244140625,139.61000061035156,2617900.0,0.077,positive
136.49000549316406,138.49000549316406,136.14999389648438,138.1300048828125,1052900.0,0.1619,positive
137.25999450683594,138.69000244140625,136.6199951171875,137.05999755859375,918600.0,0.2111,positive
138.1999969482422,138.75,136.66000366210938,137.0,968100.0,0.2111,positive
139.1999969482422,139.5399932861328,136.19000244140625,138.5399932861328,842700.0,0.2084,positive
138.69000244140625,140.27000427246094,138.58999633789062,139.3699951171875,631500.0,0.2084,positive
140.92999267578125,141.5500030517578,140.22999572753906,140.4600067138672,819700.0,0.2054,positive
140.88999938964844,141.8699951171875,140.36000061035156,140.5,664600.0,0.2029,positive
139.89999389648438,141.3699951171875,139.25,139.66000366210938,908600.0,0.2029,positive
140.22999572753906,141.1300048828125,139.11000061035156,139.80999755859375,898900.0,0.205,positive
140.91000366210938,142.52999877929688,140.80999755859375,141.5,882800.0,0.1893,positive
141.85000610351562,142.1999969482422,141.16000366210938,142.13999938964844,593200.0,0.1957,positive
