"('Close', 'AMD')","('High', 'AMD')","('Low', 'AMD')","('Open', 'AMD')","('Volume', 'AMD')",sentiment_score,sentiment_label
94.5,97.37000274658203,93.44999694824219,97.11000061035156,36003000.0,0.0,neutral
95.29000091552734,96.8499984741211,94.62000274658203,94.66000366210938,28116500.0,0.0,neutral
88.29000091552734,90.47000122070312,85.30000305175781,87.61000061035156,62109000.0,0.0,neutral
87.5,89.02999877929688,86.5199966430664,88.83999633789062,34693400.0,0.0,neutral
85.55999755859375,86.13999938964844,83.75,86.0199966430664,33855400.0,0.0,neutral
86.26000213623047,87.16999816894531,85.16999816894531,86.12000274658203,35236700.0,0.0,neutral
90.38999938964844,93.73999786376953,90.12000274658203,91.87999725341797,41102600.0,0.0,neutral
94.47000122070312,94.75,90.37000274658203,91.58999633789062,33681900.0,0.0,neutral
96.6500015258789,97.0999984741211,92.8499984741211,93.27999877929688,28575300.0,0.0,neutral
96.38999938964844,97.48999786376953,94.2699966430664,95.58000183105469,30456700.0,-0.1344,negative
96.05999755859375,97.18000030517578,95.33000183105469,95.76000213623047,20700600.0,-0.3002,negative
97.3499984741211,97.55000305175781,91.87000274658203,92.80999755859375,29730700.0,-0.2444,negative
96.6500015258789,100.0999984741211,96.44999694824219,99.2699966430664,29591500.0,-0.192,negative
98.80000305175781,99.87999725341797,98.30000305175781,98.4000015258789,29957900.0,-0.168,negative
100.58999633789062,102.05000305175781,98.76000213623047,99.0,41268900.0,-0.0424,neutral
98.62000274658203,100.06999969482422,97.44000244140625,98.41000366210938,54264300.0,-0.0158,neutral
100.36000061035156,103.41999816894531,96.87999725341797,100.75,86474400.0,0.0364,neutral
101.69999694824219,105.44000244140625,101.55999755859375,101.91999816894531,54231400.0,0.0627,positive
102.83999633789062,103.54000091552734,101.5999984741211,102.58999633789062,31653800.0,0.0561,positive
