"('Close', 'ARE')","('High', 'ARE')","('Low', 'ARE')","('Open', 'ARE')","('Volume', 'ARE')",sentiment_score,sentiment_label
79.69999694824219,80.37000274658203,77.58000183105469,78.0199966430664,2157700.0,0.0929,positive
79.12000274658203,80.45999908447266,78.88999938964844,79.44999694824219,1286700.0,0.0929,positive
77.12000274658203,79.7300033569336,76.43000030517578,78.98999786376953,1554500.0,0.0906,positive
77.83999633789062,78.80999755859375,77.29000091552734,77.62000274658203,1628000.0,0.0906,positive
75.7300033569336,76.79000091552734,74.45999908447266,76.47000122070312,1663700.0,0.0885,positive
76.26000213623047,77.87999725341797,75.52999877929688,76.87000274658203,1449900.0,0.0885,positive
76.97000122070312,80.05000305175781,76.44000244140625,78.19000244140625,1462300.0,0.0845,positive
77.26000213623047,77.76000213623047,76.51000213623047,77.22000122070312,1115000.0,0.0826,positive
75.87999725341797,77.55999755859375,75.0999984741211,77.0,1220400.0,0.0826,positive
76.9800033569336,77.22000122070312,75.58000183105469,76.12999725341797,1680400.0,0.0948,positive
72.56999969482422,75.5,71.62999725341797,75.06999969482422,3466400.0,0.0799,positive
72.66000366210938,72.94000244140625,70.56999969482422,71.63999938964844,2479200.0,0.0183,neutral
73.41999816894531,74.2699966430664,71.94999694824219,73.0,1671600.0,0.0287,neutral
74.47000122070312,75.5199966430664,73.88999938964844,75.05000305175781,1389100.0,0.0291,neutral
73.54000091552734,74.5199966430664,73.16999816894531,74.0,1809200.0,0.0583,positive
71.56999969482422,73.43000030517578,71.51000213623047,73.0,1686600.0,0.0471,neutral
71.88999938964844,72.56999969482422,71.3499984741211,71.5999984741211,1831200.0,0.0352,neutral
73.69000244140625,74.72000122070312,71.83999633789062,72.36000061035156,1791100.0,0.0348,neutral
74.06999969482422,74.62000274658203,73.4800033569336,73.83999633789062,1349700.0,0.0541,positive
