"('Close', 'LNT')","('High', 'LNT')","('Low', 'LNT')","('Open', 'LNT')","('Volume', 'LNT')",sentiment_score,sentiment_label
61.301353454589844,61.698059497776704,60.05172014945326,60.299662845184535,1867400.0,0.0483,neutral
61.09307861328125,61.86666239532415,61.0038190916342,61.47987239595535,1651600.0,0.0483,neutral
59.92279052734375,61.420366569173005,59.78394321926536,61.271599434343074,1945400.0,0.047,neutral
60.29966354370117,61.26168242494032,59.793862103204454,60.17073228110188,2462900.0,0.047,neutral
58.802093505859375,60.4186772371758,58.18719286636793,60.299665796724916,1822200.0,0.047,neutral
60.52777099609375,60.56744273627236,58.82192778477266,59.01036287566299,2164000.0,0.0458,neutral
60.72612762451172,60.98399015963204,59.80378044755343,60.34925364880805,2636500.0,0.0636,positive
60.8253059387207,61.212095951488465,60.36908848821769,60.65670293274438,1513600.0,0.0636,positive
60.24016189575195,60.92448240665394,59.85336809396686,60.92448240665394,1328600.0,0.0622,positive
60.398841857910156,60.53768916141945,59.64509394842362,60.24015868485593,1749700.0,0.0622,positive
61.10300064086914,61.29143573410971,59.9822985583305,60.18065347839214,1320600.0,0.0622,positive
61.040000915527344,61.470001220703125,59.93000030517578,61.18000030517578,2296600.0,0.0947,positive
60.54999923706055,61.65999984741211,60.29999923706055,60.93000030517578,1562500.0,0.0721,positive
61.16999816894531,61.33000183105469,60.20000076293945,60.91999816894531,1319000.0,0.1009,positive
60.9900016784668,61.20000076293945,60.459999084472656,60.97999954223633,1441800.0,0.0994,positive
61.11000061035156,61.61000061035156,60.5099983215332,60.650001525878906,1974800.0,0.1118,positive
61.79999923706055,62.16999816894531,60.810001373291016,61.119998931884766,2148200.0,0.1101,positive
61.11000061035156,62.040000915527344,60.959999084472656,61.72999954223633,2670700.0,0.1085,positive
61.7599983215332,62.650001525878906,60.68000030517578,61.11000061035156,3255100.0,0.093,positive
